objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,youtubeid,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
_0001,,to father,Horace Comstock,1943-01-09,,Letter to father from infantry training.,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,record,,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,compound_object,,,,,
_0002,_0001,to father,Horace Comstock,1943-01-09,,Letter to father from infantry training.,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,test_0002,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/full/0001.jpg,https://storage.googleapis.com/horace-comstock/images/half/0001.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0001.jpg,,
_0003,_0001,to father,Horace Comstock,1943-01-09,,Letter to father from infantry training.,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,test_0003,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/full/0001.jpg,https://storage.googleapis.com/horace-comstock/images/half/0002.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0002.jpg,,
_0004,,to father image,Horace Comstock,1943-01-09,,Letter to father from infantry training.,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,test_0004,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/full/0001.jpg,https://storage.googleapis.com/horace-comstock/images/half/0001.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0001.jpg,,
